name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Northwest Africa 5815,50693,Valid,L5,256.8,Found,,0,0,(0.0; 0.0)
Cumulus Hills 04075,32531,Valid,Pallasite,9.6,Found,01/01/2003,,,
Dominion Range 03239,32591,Valid,L6,69.5,Found,01/01/2002,,,
Dominion Range 03240,32592,Valid,LL5,290.9,Found,01/01/2002,,,
Abajo,4,Valid,H5,331,Found,01/01/1982,26.8,-105.41667,(26.8; -105.41667)
Abar al' Uj 001,51399,Valid,H3.8,194.34,Found,01/01/2008,22.72192,48.95937,(22.72192; 48.95937)
Abbott,5,Valid,H3-6,21100,Found,01/01/1951,36.3,-104.28333,(36.3; -104.28333)
Abernathy,7,Valid,L6,2914,Found,01/01/1941,33.85,-101.8,(33.85; -101.8)
Abo,8,Valid,H,1.2,Found,01/01/1840,60.43333,22.3,(60.43333; 22.3)
Abu Moharek,9,Valid,H4,4500,Found,01/01/1997,27.23944,29.83583,(27.23944; 29.83583)
Acfer 001,11,Valid,L6,6700,Found,01/01/1989,27.5,3.61667,(27.5; 3.61667)
Acfer 002,12,Valid,H5,228,Found,01/01/1989,27.61667,3.85,(27.61667; 3.85)
Acfer 003,13,Valid,H5,145,Found,01/01/1989,27.81667,4.03333,(27.81667; 4.03333)
Acfer 004,14,Valid,L6,1020,Found,01/01/1989,27.58333,3.81667,(27.58333; 3.81667)
Acfer 005,15,Valid,H3.9/4,115,Found,01/01/1989,27.6,3.83333,(27.6; 3.83333)
Acfer 006,16,Valid,H3.9/4,561,Found,01/01/1989,27.63333,3.96667,(27.63333; 3.96667)
Acfer 007,17,Valid,L5,542,Found,01/01/1989,27.51667,3.65,(27.51667; 3.65)
Acfer 008,18,Valid,H5,205,Found,01/01/1989,27.53333,3.7,(27.53333; 3.7)
Acfer 009,19,Valid,L6,127,Found,01/01/1989,27.73333,4.08333,(27.73333; 4.08333)
Acfer 010,20,Valid,L6,276,Found,01/01/1989,27.75,4.1,(27.75; 4.1)
Acfer 011,21,Valid,H5,3800,Found,01/01/1989,27.75,4.16667,(27.75; 4.16667)
Acfer 012,22,Valid,H6,98,Found,01/01/1989,27.8,4.16667,(27.8; 4.16667)
Acfer 013,23,Valid,H5,490,Found,01/01/1989,27.83333,4.28333,(27.83333; 4.28333)
Acfer 014,24,Valid,H5,307,Found,01/01/1989,27.8,4.46667,(27.8; 4.46667)
Acfer 015,25,Valid,L6,98,Found,01/01/1989,27.78333,4.28333,(27.78333; 4.28333)
Acfer 016,26,Valid,H4-5,111,Found,01/01/1989,27.71667,4.48333,(27.71667; 4.48333)
Acfer 017,27,Valid,L5,446,Found,01/01/1989,27.73333,4.4,(27.73333; 4.4)
Acfer 018,28,Valid,H5,207,Found,01/01/1989,27.7,4.08333,(27.7; 4.08333)
Acfer 019,29,Valid,L6,581,Found,01/01/1989,27.7,4.06667,(27.7; 4.06667)
Acfer 020,30,Valid,H5,708,Found,01/01/1989,27.7,4.06667,(27.7; 4.06667)
Acfer 021,31,Valid,H6,2140,Found,01/01/1989,27.55,3.61667,(27.55; 3.61667)
Acfer 022,32,Valid,H3.7,192,Found,01/01/1989,27.51667,3.83333,(27.51667; 3.83333)
Acfer 023,33,Valid,H3.8,118,Found,01/01/1989,27.51667,3.91667,(27.51667; 3.91667)
Acfer 024,34,Valid,H5,1464,Found,01/01/1989,27.55,3.93333,(27.55; 3.93333)
Acfer 025,35,Valid,H5,920,Found,01/01/1989,27.58333,3.96667,(27.58333; 3.96667)
Acfer 026,36,Valid,H5/6,88,Found,01/01/1989,27.61667,4.05,(27.61667; 4.05)
Acfer 027,37,Valid,H5,206,Found,01/01/1989,27.66667,4.2,(27.66667; 4.2)
Acfer 028,38,Valid,H3.8,3130,Found,01/01/1989,27.66667,4.25,(27.66667; 4.25)
Acfer 029,39,Valid,H4,98,Found,01/01/1989,27.68333,4.33333,(27.68333; 4.33333)
Acfer 030,40,Valid,LL6,123,Found,01/01/1989,27.68333,4.41667,(27.68333; 4.41667)
Acfer 031,41,Valid,H5,2016,Found,01/01/1989,27.66667,4.35,(27.66667; 4.35)
Acfer 032,42,Valid,L6,495,Found,01/01/1989,27.65,4.46667,(27.65; 4.46667)
Acfer 033,43,Valid,L6,93,Found,01/01/1989,27.65,4.43333,(27.65; 4.43333)
Acfer 034,44,Valid,L6,184,Found,01/01/1989,27.63333,4.35,(27.63333; 4.35)
Acfer 035,45,Valid,H6,36,Found,01/01/1989,27.6,4.3,(27.6; 4.3)
Acfer 036,46,Valid,L5/6,112,Found,01/01/1989,27.58333,4.25,(27.58333; 4.25)
Acfer 037,47,Valid,LL4-6,385,Found,01/01/1989,27.55,4.13333,(27.55; 4.13333)
Acfer 038,48,Valid,H5,962,Found,01/01/1989,27.53333,4,(27.53333; 4.0)
Acfer 039,49,Valid,L3.8,225,Found,01/01/1989,27.53333,3.91667,(27.53333; 3.91667)
Acfer 040,50,Valid,L5-6,146,Found,01/01/1989,27.46667,3.78333,(27.46667; 3.78333)
Acfer 041,51,Valid,L/LL6,134,Found,01/01/1989,27.43333,3.71667,(27.43333; 3.71667)
Acfer 042,52,Valid,H5,246,Found,01/01/1989,27.46667,3.83333,(27.46667; 3.83333)
Acfer 043,53,Valid,H4,120,Found,01/01/1989,27.51667,3.91667,(27.51667; 3.91667)
Acfer 044,54,Valid,L6,195,Found,01/01/1989,27.55,4,(27.55; 4.0)
Acfer 046,56,Valid,H5,1066,Found,01/01/1989,27.78333,4.7,(27.78333; 4.7)
Acfer 047,57,Valid,L4,1440,Found,01/01/1989,27.83333,4.7,(27.83333; 4.7)
Acfer 048,58,Valid,H4-5,115,Found,01/01/1989,27.55,4.08333,(27.55; 4.08333)
Acfer 049,59,Valid,H5,82.9,Found,01/01/1989,27.41667,3.71667,(27.41667; 3.71667)
Acfer 050,60,Valid,H6,1394,Found,01/01/1989,27.65,4.5,(27.65; 4.5)
Acfer 051,61,Valid,L5,905,Found,01/01/1989,27.61667,4.41667,(27.61667; 4.41667)
Acfer 052,62,Valid,L5,58,Found,01/01/1989,27.75,4.15,(27.75; 4.15)
Acfer 053,63,Valid,H6,1937,Found,01/01/1989,27.73333,4.05,(27.73333; 4.05)
Acfer 054,64,Valid,H5,2051,Found,01/01/1989,27.7,3.93333,(27.7; 3.93333)
Acfer 055,65,Valid,H5,1338,Found,01/01/1989,27.5,3.98333,(27.5; 3.98333)
Acfer 056,66,Valid,L4,129,Found,01/01/1989,27.46667,3.88333,(27.46667; 3.88333)
Acfer 058,67,Valid,LL5-6,277,Found,01/01/1989,27.38333,3.71667,(27.38333; 3.71667)
Acfer 059,68,Valid,CR2,281,Found,01/01/1989,27.51667,4.06667,(27.51667; 4.06667)
